CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kami:P30001,ima jezik sadržaja,kami:C10003,"Povezuje izraz s izrazom, nadziranim nazivom, kôdom, identifikatorom ili drugom oznakom koja označava jezik tekstualnog sadržaja jedinice građe.",,,
kami:P30002,ima napomenu o jeziku sadržaja,kami:C10003,Povezuje izraz s kratkim nestrukturiranim tekstom u kojemu se navode pojedinosti o jeziku ili jezicima sadržaja jedinice građe.,kami:P30245,,
kami:P30003,ima jezik izvornika,kami:C10003,"Povezuje izraz s izrazom, nadziranim nazivom, kôdom, identifikatorom ili drugom oznakom za jezik kojim je izvorno zabilježen sadržaj jedinice građe.",,,
kami:P30004,ima napomenu o jeziku izvornika,kami:C10003,Povezuje izraz s kratkim nestrukturiranim tekstom u kojemu se navode objašnjenja i druge pojedinosti o jeziku ili jezicima kojima je izvorno zabilježen sadržaj jedinice građe.,kami:P30245,,
kami:P30005,ima pismo sadržaja,kami:C10003,"Povezuje izraz s izrazom, nadziranim nazivom, kôdom, identifikatorom ili drugom oznakom za sustav grafičkih znakova kojima je iskazan sadržaj jedinice građe.
",,,
kami:P30006,ima napomenu o pismu sadržaja,kami:C10003,Povezuje izraz s kratkim nestrukturiranim tekstom u kojemu se navode objašnjenja i druge pojedinosti o sustavu grafičkih znakova kojim je iskazan sadržaj jedinice građe.,kami:P30245,,
kami:P30007,ima pismo izvornika,kami:C10003,"Povezuje izraz s izrazom, nadziranim nazivom, kôdom, identifikatorom ili drugom oznakom koja označava sustav grafičkih znakova kojim je izvorno zabilježen sadržaj jedinice građe.",,,
kami:P30008,ima napomenu o pismu izvornika,kami:C10003,Povezuje izraz s kratkim nestrukturiranim tekstom u kojemu se navode objašnjenja i druge pojedinosti o jednom ili više sustava grafičkih znakova kojima je izvorno zabilježen sadržaj jedinice građe.,kami:P30245,,
kami:P30009,ima zvučni sadržaj,kami:C10003,"Povezuje izraz s izrazom, kôdom ili drugom oznakom koja označava sadrži li jedinica građe zvuk.",,,
kami:P30010,ima trajanje,kami:C10003,Povezuje izraz s izrazom koji označava vrijeme potrebno za izvedbu ili reprodukciju sadržaja jedinice građe.,,,
kami:P30011,ima napomenu o trajanju,kami:C10003,Povezuje izraz s kratkim nestrukturiranim tekstom u kojemu se navode objašnjenja i druge pojedinosti o trajanju sadržaja jedinice građe.,kami:P30245,,
kami:P30012,ima glazbeni format,kami:C10003,"Povezuje izraz s nazivom, kôdom ili drugom oznakom koja označava oblik notirane glazbe.",,,
kami:P30013,ima izvođački sastav,kami:C10003,"Povezuje izraz s izrazom ili drugom oznakom koja označava instrumentalni, vokalni ili drugi sastav koji izvodi glazbeno djelo.",,,
kami:P30014,ima mjerilo,kami:C10003,Povezuje izraz s brojčanim podatkom ili izrazom koji označava odnos dimenzija jedinice građe ili udaljenosti prikazanih na jedinici građe i stvarnih dimenzija ili udaljenosti.,,,
kami:P30015,ima napomenu o mjerilu,kami:C10003,Povezuje izraz s kratkim nestrukturiranim tekstom u kojemu se navode objašnjenja i druge pojedinosti o mjerilu jedinice građe.,kami:P30245,,
kami:P30016,ima kartografsku projekciju,kami:C10003,"Povezuje izraz s izrazom ili drugom oznakom koja označava matematički sustav pomoću kojega je na karti prikazana Zemlja ili neko drugo nebesko tijelo, dio Zemlje ili nekog drugog nebeskog tijela ili položaj nebeskih tijela.",,,
kami:P30017,ima ciljanu publiku izraza,kami:C10003,"Povezuje izraz s riječi ili nizom riječi, nadziranim nazivom, identifikatorom ili drugom oznakom za društvenu skupinu kojoj je određeni izraz jedinice građe primarno namijenjen ili za koju se smatra prikladnim s obzirom na posebne senzorne i druge potrebe.",,,
kami:P30018,ima napomenu o ciljanoj publici,kami:C10003,"Povezuje izraz s kratkim nestrukturiranim tekstom u kojemu se navode objašnjenja, tumačenja i druge pojedinosti o društvenoj skupini kojoj je određeni izraz jedinice građe primarno namijenjen ili za koju se smatra prikladnim s obzirom na posebne senzorne i druge potrebe.",kami:P30245,,
kami:P30019,"ima uvjete objavljivanja, umnožavanja ili prikazivanja",kami:C10003,"Povezuje izraz s izrazom ili tekstom koji označava pravna i druga ograničenja vezana uz objavljivanje, umnožavanje i/ili javno prikazivanje sadržaja jedinice građe.",,,
kami:P30020,je izraz povezan s jedinica opisa,kami:C10003,Povezuje izraz s jedinicom opisa.,kamjo:P10003,kamjo:C10001,kamjo:P10005
kami:P30021,je izraz povezan s djelom,kami:C10003,Povezuje izraz s djelom.,kami:P30020,kamd:C10002,kamd:P20033
kami:P30022,je realizacija djela,kami:C10003,Povezuje izraz s djelom kroz kojega realizira.,kami:P30021,kamd:C10002,kamd:P20034
kami:P30023,je izraz povezan s izrazom,kami:C10003,Povezuje izraz s izrazom.,kami:P30020,kami:C10003,kami:P30023
kami:P30024,je agregirao izraz,kami:C10003,Povezuje izraz s izrazom s kojim je objavljen kao dio izraza zbirnog djela.,kami:P30023,kami:C10003,kami:P30025
kami:P30025,je agregiran u izrazu,kami:C10003,Povezuje izraz s izrazom koji je objavljen u izrazu zbirnog djela.,kami:P30023,kami:C10003,kami:P30024
kami:P30026,ima dio izraz,kami:C10003,Povezuje izraz s izrazom koji izvorno obuhvaća.,kami:P30023,kami:C10003,kami:P30027
kami:P30027,je dio izraza,kami:C10003,Povezuje izraz s izrazom koji ga izvorno obuhvaća.,kami:P30023,kami:C10003,kami:P30026
kami:P30028,je izveden iz izraza,kami:C10003,Povezuje izraz djela s izrazom istog djela na temelju kojeg je nastao.,kami:P30023,kami:C10003,kami:P30029
kami:P30029,ima izvedenicu izraz,kami:C10003,Povezuje izraz djela s izrazom istog djela koji je na njegovu temelju nastao.,kami:P30023,kami:C10003,kami:P30028
kami:P30030,je izraz povezan s pojavnim oblikom,kami:C10003,Povezuje izraz s pojavnim oblikom.,kami:P30020,kampo:C10004,kampo:P40083
kami:P30031,je izraz postvaren u pojavnom obliku,kami:C10003,Povezuje izraz s pojavnim oblikom u kojem je postvaren.,kami:P30030,kampo:C10004,kampo:P40084
kami:P30032,je izraz povezan s agentom,kami:C10003,Povezuje izraz s agentom.,kami:P30020,kama:C10006,kama:P60004
kami:P30033,je izraz povezan s osobom,kami:C10003,Povezuje izraz s osobom.,kami:P30032,kamo:C10007,kamo:P70020
kami:P30034,je izraz povezan s kolektivnim agentom,kami:C10003,Povezuje izraz s kolektivnim agentom.,kami:P30032,kamka:C10008,kamka:P80004
kami:P30035,je izraz povezan s korporativnim tijelom,kami:C10003,Povezuje izraz s korporativnim tijelom.,kami:P30034,kamkt:C10009,kamkt:P90011
kami:P30036,je izraz povezan s obitelji,kami:C10003,Povezuje izraz s obitelji.,kami:P30034,kamob:C10010,kamob:P10011
kami:P30037,ima agenta cenzora,kami:C10003,"Povezuje izraz s agentom koji je izmijenio izvorni sadržaj jedinice građe (tekst, kompoziciju, slijed sekvenci itd.) kako bi bio u skladu s određenim političkim ili religijskim svjetonazorom.",kami:P30032,kama:C10006,kama:P60074
kami:P30038,ima osobu cenzora,kami:C10003,"Povezuje izraz s osobom koja je izmijenila izvorni sadržaj jedinice građe (tekst, kompoziciju, slijed sekvenci itd.) kako bi bio u skladu s određenim političkim ili religijskim svjetonazorom.",kami:P30037,kamo:C10007,kamo:P70082
kami:P30039,ima kolektivnog agenta cenzora,kami:C10003,"Povezuje izraz s kolektivnim agentom koji je izmijenio izvorni sadržaj jedinice građe (tekst, kompoziciju, slijed sekvenci itd.) kako bi bio u skladu s određenim političkim ili religijskim svjetonazorom.",kami:P30037,kamka:C10008,kamka:P80076
kami:P30040,ima korporativno tijelo cenzora,kami:C10003,"Povezuje izraz s korporativnim tijelom koji je izmijenio izvorni sadržaj jedinice građe (tekst, kompoziciju, slijed sekvenci itd.) kako bi bio u skladu s određenim političkim ili religijskim svjetonazorom.",kami:P30039,kamkt:C10009,kamkt:P90075
kami:P30041,ima obitelj cenzora,kami:C10003,"Povezuje izraz s obitelji koja je izmijenila izvorni sadržaj jedinice građe (tekst, kompoziciju, slijed sekvenci itd.) kako bi bio u skladu s određenim političkim ili religijskim svjetonazorom.",kami:P30039,kamob:C10010,kamob:P10074
kami:P30042,ima agenta citiranog autora,kami:C10003,Povezuje izraz s agentom čije se djelo navodi ili citira u sadržaju jedinice građe.,kami:P30032,kama:C10006,kama:P60075
kami:P30043,ima osobu citiranog autora,kami:C10003,Povezuje izraz s osobom čije se djelo navodi ili citira u sadržaju jedinice građe.,kami:P30042,kamo:C10007,kamo:P70083
kami:P30044,ima kolektivnog agenta citiranog autora,kami:C10003,Povezuje izraz s kolektivnim agentom čije se djelo navodi ili citira u sadržaju jedinice građe.,kami:P30042,kamka:C10008,kamka:P80077
kami:P30045,ima korporativno tijelo citiranog autora,kami:C10003,Povezuje izraz s korporativnim tijelom čije se djelo navodi ili citira u sadržaju jedinice građe.,kami:P30044,kamkt:C10009,kamkt:P90076
kami:P30046,ima obitelj citiranog autora,kami:C10003,Povezuje izraz s obitelji čije se djelo navodi ili citira u sadržaju jedinice građe.,kami:P30044,kamob:C10010,kamob:P10075
kami:P30047,ima agenta glazbenog aranžera,kami:C10003,Povezuje izraz s agentom koji je na temelju osnovne zamisli skladatelja razradio instrumentalne i/ili vokalne dionice glazbenog djela za određeni izvođački sastav ili preradio glazbeno djelo drugog skladatelja za drugi izvođački sastav ili tonalitet.,kami:P30032,kama:C10006,kama:P60076
kami:P30048,ima osobu glazbenog aranžera,kami:C10003,Povezuje izraz s osobom koja je na temelju osnovne zamisli skladatelja razradila instrumentalne i/ili vokalne dionice glazbenog djela za određeni izvođački sastav ili preradila glazbeno djelo drugog skladatelja za drugi izvođački sastav ili tonalitet.,kami:P30047,kamo:C10007,kamo:P70084
kami:P30049,ima kolektivnog agenta glazbenog aranžera,kami:C10003,Povezuje izraz s kolektivnim agentom koji je na temelju osnovne zamisli skladatelja razradio instrumentalne i/ili vokalne dionice glazbenog djela za određeni izvođački sastav ili preradio glazbeno djelo drugog skladatelja za drugi izvođački sastav ili tonalitet.,kami:P30047,kamka:C10008,kamka:P80078
kami:P30050,ima korporativno tijelo glazbenog aranžera,kami:C10003,Povezuje izraz s korporativnim tijelom koje je na temelju osnovne zamisli skladatelja razradilo instrumentalne i/ili vokalne dionice glazbenog djela za određeni izvođački sastav ili preradilo glazbeno djelo drugog skladatelja za drugi izvođački sastav ili tonalitet.,kami:P30049,kamkt:C10009,kamkt:P90077
kami:P30051,ima osobu glazbenog aranžera,kami:C10003,Povezuje izraz s obitelji koja je na temelju osnovne zamisli skladatelja razradila instrumentalne i/ili vokalne dionice glazbenog djela za određeni izvođački sastav ili preradila glazbeno djelo drugog skladatelja za drugi izvođački sastav ili tonalitet.,kami:P30049,kamob:C10010,kamob:P10076
kami:P30052,ima agenta izvođača,kami:C10003,Povezuje izraz s agentom koji nastupa u izvedbi djela. ,kami:P30032,kama:C10006,kama:P60077
kami:P30053,ima osobu izvođača,kami:C10003,Povezuje izraz s osobom koja nastupa u izvedbi djela.,kami:P30052,kamo:C10007,kamo:P70085
kami:P30054,ima kolektivnog agenta izvođača,kami:C10003,Povezuje izraz s kolektivnim agentom koji nastupa u izvedbi djela.,kami:P30052,kamka:C10008,kamka:P80079
kami:P30055,ima korporativno tijelo izvođača,kami:C10003,Povezuje izraz s korporativnim tijelom koji nastupa u izvedbi djela.,kami:P30054,kamkt:C10009,kamkt:P90078
kami:P30056,ima obitelj izvođača,kami:C10003,Povezuje izraz s obitelji koja nastupa u izvedbi djela.,kami:P30054,kamob:C10010,kamob:P10077
kami:P30057,ima agenta glazbenika,kami:C10003,"Povezuje izraz s agentom koji izvodi instrumentalno, vokalno ili vokalno-instrumentalno glazbeno djelo.",kami:P30052,kama:C10006,kama:P60078
kami:P30058,ima osobu glazbenika,kami:C10003,"Povezuje izraz s osobom koja izvodi instrumentalno, vokalno ili vokalno-instrumentalno glazbeno djelo.",kami:P30057,kamo:C10007,kamo:P70086
kami:P30059,ima kolektivnog agenta glazbenika,kami:C10003,"Povezuje izraz s kolektivnim agentom koji izvodi instrumentalno, vokalno ili vokalno-instrumentalno glazbeno djelo.",kami:P30057,kamka:C10008,kamka:P80080
kami:P30060,ima korporativno tijelo glazbenika,kami:C10003,"Povezuje izraz s korporativnim tijelom koji izvodi instrumentalno, vokalno ili vokalno-instrumentalno glazbeno djelo.",kami:P30059,kamkt:C10009,kamkt:P90079
kami:P30061,ima obitelj glazbenika,kami:C10003,"Povezuje izraz s obitelji koja izvodi instrumentalno, vokalno ili vokalno-instrumentalno glazbeno djelo.",kami:P30059,kamob:C10010,kamob:P10078
kami:P30062,ima agenta dirigenta,kami:C10003,Povezuje izraz s agentom koji ravna instrumentalnim ili mješovitim sastavom koji izvodi glazbeno ili glazbeno-scensko djelo.,kami:P30052,kama:C10006,kama:P60079
kami:P30063,ima osobu dirigenta,kami:C10003,Povezuje izraz s osobom koja ravna instrumentalnim ili mješovitim sastavom koji izvodi glazbeno ili glazbeno-scensko djelo.,kami:P30062,kamo:C10007,kamo:P70087
kami:P30064,ima agenta DJ-a,kami:C10003,Povezuje izraz s agentom koji reproducira i miješa izraze postojećih glazbenih djela u novu cjelinu.,kami:P30052,kama:C10006,kama:P60080
kami:P30065,ima osobu DJ-a,kami:C10003,Povezuje izraz s osobom koja reproducira i miješa izraze postojećih glazbenih djela u novu cjelinu.,kami:P30064,kamo:C10007,kamo:P70088
kami:P30066,ima agenta instrumentalista,kami:C10003,Povezuje izraz s agentom koji svira glazbeni instrument u izvedbi glazbenog djela.,kami:P30052,kama:C10006,kama:P60081
kami:P30067,ima osobu instrumentalisa,kami:C10003,Povezuje izraz s osobom koja svira glazbeni instrument u izvedbi glazbenog djela.,kami:P30066,kamo:C10007,kamo:P70089
kami:P30068,ima kolektivnog agenta instrumentalista,kami:C10003,Povezuje izraz s kolektivnim agentom koji svira glazbeni instrument u izvedbi glazbenog djela.,kami:P30066,kamka:C10008,kamka:P80083
kami:P30069,ima korporativno tijelo instrumentalista,kami:C10003,Povezuje izraz s korporativnim tijelom koje svira glazbeni instrument u izvedbi glazbenog djela.,kami:P30068,kamkt:C10009,kamkt:P90082
kami:P30070,ima obitelj instrumentalista,kami:C10003,Povezuje izraz s obitelji koja svira glazbeni instrument u izvedbi glazbenog djela.,kami:P30068,kamob:C10010,kamob:P10081
kami:P30071,ima agenta pjevača,kami:C10003,Povezuje izraz s agentom koji izvodi vokalno glazbeno djelo ili vokalnu dionicu glazbenog djela.,kami:P30052,kama:C10006,kama:P60082
kami:P30072,ima osobu pjevača,kami:C10003,Povezuje izraz s osobom koja izvodi vokalno glazbeno djelo ili vokalnu dionicu glazbenog djela.,kami:P30071,kamo:C10007,kamo:P70090
kami:P30073,ima kolektivnog agenta pjevača,kami:C10003,Povezuje izraz s kolektivnim agentom koji izvodi vokalno glazbeno djelo ili vokalnu dionicu glazbenog djela.,kami:P30071,kamka:C10008,kamka:P80084
kami:P30074,ima korporativno tijelo pjevača,kami:C10003,Povezuje izraz s korporativnim tijelom koje izvodi vokalno glazbeno djelo ili vokalnu dionicu glazbenog djela.,kami:P30073,kamkt:C10009,kamkt:P90083
kami:P30075,ima obitelj pjevača,kami:C10003,Povezuje izraz s obitelji koja izvodi vokalno glazbeno djelo ili vokalnu dionicu glazbenog djela.,kami:P30073,kamob:C10010,kamob:P10082
kami:P30076,ima agenta voditelja zbora,kami:C10003,Povezuje izraz s agentom koji ravna zborom koji izvodi vokalno ili vokalno-instrumentalno glazbeno djelo.,kami:P30052,kama:C10006,kama:P60083
kami:P30077,ima osobu voditelja zbora,kami:C10003,Povezuje izraz s osobom koja ravna zborom koji izvodi vokalno ili vokalno-instrumentalno glazbeno djelo.,kami:P30076,kamo:C10007,kamo:P70091
kami:P30078,ima agenta glumca,kami:C10003,"Povezuje izraz s agentom koji tumači ulogu u dramskoj ili glazbeno-scenskoj predstavi, filmu ili drugom obliku izvedbene umjetnosti.",kami:P30052,kama:C10006,kama:P60084
kami:P30079,ima osobu glumca,kami:C10003,"Povezuje izraz s osobom koja tumači ulogu u dramskoj ili glazbeno-scenskoj predstavi, filmu ili drugom obliku izvedbene umjetnosti.",kami:P30078,kamo:C10007,kamo:P70092
kami:P30080,ima kolektivnog agenta glumca,kami:C10003,"Povezuje izraz s kolektivnim agentom koji tumači ulogu u dramskoj ili glazbeno-scenskoj predstavi, filmu ili drugom obliku izvedbene umjetnosti.",kami:P30078,kamka:C10008,kamka:P80086
kami:P30081,ima korporativno tijelo glumca,kami:C10003,"Povezuje izraz s korporativnim tijelom koje tumači ulogu u dramskoj ili glazbeno-scenskoj predstavi, filmu ili drugom obliku izvedbene umjetnosti.",kami:P30080,kamkt:C10009,kamkt:P90085
kami:P30082,ima obitelj glumca,kami:C10003,"Povezuje izraz s obitelji koja tumači ulogu u dramskoj ili glazbeno-scenskoj predstavi, filmu ili drugom obliku izvedbene umjetnosti.",kami:P30080,kamob:C10010,kamob:P10084
kami:P30083,ima agenta glasovnog glumca,kami:C10003,"Povezuje izraz s agentom koji posuđuje glas liku u filmu, računalnoj igri, radijskoj drami ili drugom djelu zvučnog ili zvučno-slikovnog sadržaja.",kami:P30052,kama:C10006,kama:P60085
kami:P30084,ima osobu glasovnog glumca,kami:C10003,"Povezuje izraz s osobom koja posuđuje glas liku u filmu, računalnoj igri, radijskoj drami ili drugom djelu zvučnog ili zvučno-slikovnog sadržaja.",kami:P30083,kamo:C10007,kamo:P70093
kami:P30085,ima agenta kazivača,kami:C10003,"Povezuje izraz s agentom koji govori ili pripovijeda  narodne pjesme, priče i sl. onome tko zapisuje ili snima.",kami:P30052,kama:C10006,kama:P60086
kami:P30086,ima osobu kazivača,kami:C10003,"Povezuje izraz s osobom koja govori ili pripovijeda narodne pjesme, priče i sl. onome tko zapisuje ili snima.",kami:P30085,kamo:C10007,kamo:P70094
kami:P30087,ima agenta komentatora,kami:C10003,"Povezuje izraz s agentom koji interpretira, analizira ili raspravlja na neku temu u televizijskoj ili radijskoj emisiji ili drugom djelu zvučnog ili zvučno-slikovnog sadržaja. ",kami:P30052,kama:C10006,kama:P60087
kami:P30088,ima osobu komentatora,kami:C10003,"Povezuje izraz s osobom koja interpretira, analizira ili raspravlja na neku temu u televizijskoj ili radijskoj emisiji ili drugom djelu zvučnog ili zvučno-slikovnog sadržaja.",kami:P30087,kamo:C10007,kamo:P70095
kami:P30089,ima agenta lutkara,kami:C10003,"Povezuje izraz s agentom koji upravlja lutkama u dramskoj ili glazbeno-scenskoj predstavi, filmu ili drugom obliku izvedbene umjetnosti.",kami:P30052,kama:C10006,kama:P60088
kami:P30090,ima osobu lutkara,kami:C10003,"Povezuje izraz s osobom koja upravlja lutkama u dramskoj ili glazbeno-scenskoj predstavi, filmu ili drugom obliku izvedbene umjetnosti.",kami:P30089,kamo:C10007,kamo:P70096
kami:P30091,ima agenta moderatora,kami:C10003,Povezuje izraz s agentom koji vodi raspravu na određenu temu uživo ili putem medija masovnog priopćavanja.,kami:P30052,kama:C10006,kama:P60089
